Year,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE
2018,85,45,77,81,73,163,464,12,6,106,48,48,709,99,5,7,332,53,215,3,14,2,29,146,9,163,4
2019,143,87,128,41,53,112,104,4,5,117,39,30,263,209,53,27,182,72,440,15,29,16,46,198,10,268,9
2020,134,118,130,46,29,89,98,1,20,53,26,33,426,74,13,45,262,65,432,22,19,24,22,117,14,397,8
2021,151,138,130,73,57,100,114,3,5,39,31,26,207,102,11,22,99,118,518,29,14,32,52,141,38,384,11
2022,148,169,147,109,70,86,119,1,4,37,87,49,217,131,16,20,78,58,347,26,15,25,35,92,26,558,27
2023,130,119,436,50,19,66,155,3,6,39,313,215,157,79,7,19,88,69,397,15,13,20,86,51,13,320,5
