Year,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE
2018,254,33,343,71,199,302,236,33,57,103,40,88,449,172,26,152,315,101,749,84,84,38,153,388,24,157,106
2019,231,79,370,100,214,314,358,87,52,108,56,155,507,224,36,156,308,124,842,101,84,33,151,384,21,203,84
2020,321,86,381,124,242,330,294,86,50,148,101,200,515,307,38,187,360,127,907,147,73,45,180,355,34,222,91
2021,354,110,461,100,313,440,286,31,82,142,83,205,538,344,57,218,359,124,1107,256,86,67,196,373,37,320,109
2022,431,108,515,126,335,447,402,80,105,109,69,247,576,376,71,269,366,154,1230,309,97,78,237,338,64,366,141
2023,310,86,366,81,252,328,250,36,101,103,66,168,409,289,48,176,280,110,804,191,81,60,139,234,46,247,60
